"modalidade","tierId","label","uuid","name","region"
"AXE","4","HT4","b8b21387-0ac7-4b12-b571-f5cd4ad7e09d","tortapro","BR"
"AXE","4","HT4","ccdb0039-b790-4187-80de-a0b9a8dacbee","TungTungCurious","BR"
"AXE","4","HT4","fc413479-a8fc-40c1-929e-2efa6ceb7ce1","TungTungShingyxs","BR"
"AXE","4","HT4","c3b7683a-9dd1-4f3b-be39-cc4d7b2832bb","Verminho","BR"
"AXE","4","HT4","b1d19ff5-bda1-4d03-a8da-c3047421fc9f","xqge","BR"
"AXE","3","LT4","afde00f7-7fc3-4c9e-89fc-a60288d21415","_nylia","BR"
"AXE","3","LT4","f920df2f-a230-4a4f-89c5-8db202e1140e","_sleezer","BR"
"AXE","3","LT4","0a8268c9-0e65-42c4-8fb1-0e846cf48967","_Sloownees","BR"
"AXE","3","LT4","c899ef23-3113-4cbf-a95d-932fcbaa335d","178O","BR"
"AXE","3","LT4","2f9a49c2-dc25-4ef9-baf5-9c0a6ce4c317","2feg","BR"
"AXE","3","LT4","33d4ed14-e97c-4ff6-ab67-b4c606b70fbf","3984532454","BR"
"AXE","3","LT4","ae82cae2-a380-4c42-9d0c-d4961cd78f2a","3Proyectados","PE"
"AXE","3","LT4","cd8a381c-6d25-4418-95c6-0adc674c78c7","67Do1p67","BR"
"AXE","3","LT4","654a164d-dde2-43b7-8e4a-662529135f7c","67Drilla","BR"
"AXE","3","LT4","bde1cd21-c7dc-46c2-a45e-044c6d711f69","8scy","BR"
"AXE","3","LT4","21254a6b-5f76-4e91-b7b2-8a1391015bf8","andrewlarp","BR"
"AXE","3","LT4","fcca450f-a4be-46aa-acaa-999baeb1d4c7","Arrasto","BR"
"AXE","3","LT4","91dd34d1-6da3-40a7-905f-23fb8dbb96eb","Arthue_zica","BR"
"AXE","3","LT4","2a3ec37b-6e82-46e4-89e3-d7bd85859e19","ArtzxTheZac","BR"
"AXE","3","LT4","3281e37b-56a5-4cc5-a30b-99b54528dd66","AurablackegoLabu","BR"
"AXE","3","LT4","3e0000e6-0b30-406e-95f8-0666fc504234","BelgaXD","BR"
"AXE","3","LT4","67d9e928-fdc5-4025-a4a0-10001eb56109","Belonex00PVP","BR"
"AXE","3","LT4","3c3028d5-58bc-41fb-9814-050703918612","BlackHunter2101","BR"
"AXE","3","LT4","747e7c21-3022-4fc0-9ff9-d1ca60977b7b","Blacxzshoots","BR"
"AXE","3","LT4","b59de1cb-96c8-4925-8d5b-77f6210de75b","Blessed1935","BR"
